"PLAN
COMPARISON",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discovery Health Medical Scheme 2025 contributions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERIES,,,,,,,,PLAN,,,,,,,,,,CONTRIBUTIONS (R),,,,,,,,,,,,,,,,,,,CONTRIBUTIONS TO MEDICAL SAVINGS ACCOUNT (R),,,,,,,,,,,,,,,,,,,,,,,,TOTAL CONTRIBUTIONS (R),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,MAIN MEMBER,,,,,ADULT,,,,CHILD**,,,,,,,,,,MAIN MEMBER,,,,,,ADULT,,,,,,,CHILD**,,,,,,MAIN MEMBER,,,,,,,,,,ADULT,,,CHILD**,,,,,,,,
Executive,,,,,,,,,,,,,Executive Plan,,,,,,,"8,573",,,,,,,,,,"8,573",,,,,,,"1,639",,,,,,,"2,857",,,,,,,"2,857",,,,,,546,,,,,,,,,,"11,430",,,,,,"11,430",,,,,"2,185",,,,,
Comprehensive,,,,,,,,,,,,,Classic Comprehensive,,,,,,,"6,975",,,,,,,,,,"6,596",,,,,,,"1,392",,,,,,,"2,323",,,,,,,"2,197",,,,,,464,,,,,,,,,,"9,298",,,,,,"8,793",,,,,"1,856",,,,,
,,,,,,,,,,,,,Classic Smart Comprehensive,,,,,,,"6,754",,,,,,,,,,"6,237",,,,,,,"1,577",,,,,,,"1,191",,,,,,,"1,100",,,,,,278,,,,,,,,,,"7,945",,,,,,"7,337",,,,,"1,855",,,,,
Priority,,,,,,,,,,,,,Classic Priority,,,,,,,"4,348",,,,,,,,,,"3,429",,,,,,,"1,739",,,,,,,"1,448",,,,,,,"1,142",,,,,,579,,,,,,,,,,"5,796",,,,,,"4,571",,,,,"2,318",,,,,
,,,,,,,,,,,,,Essential Priority,,,,,,,"4,234",,,,,,,,,,"3,330",,,,,,,"1,691",,,,,,,747,,,,,,,587,,,,,,298,,,,,,,,,,"4,981",,,,,,"3,917",,,,,"1,989",,,,,
Saver,,,,,,,,,,,,,Classic Saver,,,,,,,"3,629",,,,,,,,,,"2,862",,,,,,,"1,455",,,,,,,906,,,,,,,715,,,,,,362,,,,,,,,,,"4,535",,,,,,"3,577",,,,,"1,817",,,,,
,,,,,,,,,,,,,Classic Delta Saver,,,,,,,"2,900",,,,,,,,,,"2,291",,,,,,,"1,164",,,,,,,724,,,,,,,572,,,,,,291,,,,,,,,,,"3,624",,,,,,"2,863",,,,,"1,455",,,,,
,,,,,,,,,,,,,Essential Saver,,,,,,,"3,271",,,,,,,,,,"2,453",,,,,,,"1,310",,,,,,,363,,,,,,,272,,,,,,145,,,,,,,,,,"3,634",,,,,,"2,725",,,,,"1,455",,,,,
,,,,,,,,,,,,,Essential Delta Saver,,,,,,,"2,609",,,,,,,,,,"1,969",,,,,,,"1,047",,,,,,,289,,,,,,,218,,,,,,116,,,,,,,,,,"2,898",,,,,,"2,187",,,,,"1,163",,,,,
,,,,,,,,,,,,,Coastal Saver,,,,,,,"3,228",,,,,,,,,,"2,427",,,,,,,"1,303",,,,,,,569,,,,,,,428,,,,,,230,,,,,,,,,,"3,797",,,,,,"2,855",,,,,"1,533",,,,,
Smart,,,,,,,,,,,,,Classic Smart,,,,,,,"2,822",,,,,,,,,,"2,227",,,,,,,"1,127",,,,,,,No Medical Savings Account,,,,,,,,,,,,,,,,,,,,,,,"2,822",,,,,,"2,227",,,,,"1,127",,,,,
,,,,,,,,,,,,,Essential Smart,,,,,,,"2,021",,,,,,,,,,"2,021",,,,,,,"2,021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,021",,,,,,"2,021",,,,,"2,021",,,,,
,,,,,,,,,,,,,Essential Dynamic Smart,,,,,,,"1,681",,,,,,,,,,"1,681",,,,,,,"1,681",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,681",,,,,,"1,681",,,,,"1,681",,,,,
,,,,,,,,,,,,,Active Smart,,,,,,,"1,350",,,,,,,,,,"1,350",,,,,,,"1,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,350",,,,,,"1,350",,,,,"1,350",,,,,
Core,,,,,,,,,,,,,Classic Core,,,,,,,"3,652",,,,,,,,,,"2,882",,,,,,,"1,461",,,,,,,No Medical Savings Account,,,,,,,,,,,,,,,,,,,,,,,"3,652",,,,,,"2,882",,,,,"1,461",,,,,
,,,,,,,,,,,,,Classic Delta Core,,,,,,,"2,923",,,,,,,,,,"2,305",,,,,,,"1,169",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,923",,,,,,"2,305",,,,,"1,169",,,,,
,,,,,,,,,,,,,Essential Core,,,,,,,"3,138",,,,,,,,,,"2,354",,,,,,,"1,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,138",,,,,,"2,354",,,,,"1,260",,,,,
,,,,,,,,,,,,,Essential Delta Core,,,,,,,"2,507",,,,,,,,,,"1,887",,,,,,,"1,006",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,507",,,,,,"1,887",,,,,"1,006",,,,,
,,,,,,,,,,,,,Coastal Core,,,,,,,"3,011",,,,,,,,,,"2,259",,,,,,,"1,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,011",,,,,,"2,259",,,,,"1,196",,,,,
KeyCare*,,,,,,,,,,,,,"KeyCare Plus 0 – 9,900",,,,,,,"1,817",,,,,,,,,,"1,817",,,,,,,661,,,,,,,No Medical Savings Account,,,,,,,,,,,,,,,,,,,,,,,"1,817",,,,,,"1,817",,,,,661,,,,,
,,,,,,,,,,,,,"KeyCare Plus 9,901 – 15,990",,,,,,,"2,497",,,,,,,,,,"2,497",,,,,,,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,497",,,,,,"2,497",,,,,704,,,,,
,,,,,,,,,,,,,"KeyCare Plus 15,991 +",,,,,,,"3,687",,,,,,,,,,"3,687",,,,,,,986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,687",,,,,,"3,687",,,,,986,,,,,
,,,,,,,,,,,,,"KeyCare Core 0 – 9,900",,,,,,,"1,381",,,,,,,,,,"1,381",,,,,,,361,,,,,,,No Medical Savings Account,,,,,,,,,,,,,,,,,,,,,,,"1,381",,,,,,"1,381",,,,,361,,,,,
,,,,,,,,,,,,,"KeyCare Core 9,901 – 15,990",,,,,,,"1,723",,,,,,,,,,"1,723",,,,,,,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,723",,,,,,"1,723",,,,,427,,,,,
,,,,,,,,,,,,,"KeyCare Core 15,991 +",,,,,,,"2,636",,,,,,,,,,"2,636",,,,,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,636",,,,,,"2,636",,,,,598,,,,,
,,,,,,,,,,,,,"KeyCare Start 0 – 10,550",,,,,,,"1,331",,,,,,,,,,"1,331",,,,,,,811,,,,,,,No Medical Savings Account,,,,,,,,,,,,,,,,,,,,,,,"1,331",,,,,,"1,331",,,,,811,,,,,
