,,,,
,,,,
,,,,
,,,,
,,,,
"The Prescribed Minimum Benefit (PMB) list of conditions lists all of the conditions which all medical schemes need to cover on all the health plans they offer to their members. This cover includes funding for the diagnosis, treatment and ongoing care for the listed conditions.
According to the Medical Schemes Act 131 of 1998 and its Regulations, all medical schemes have to cover the costs related to the diagnosis, treatment and care of:
1.     Any life-threatening emergency medical condition
2.     A defined set of 271 diagnoses
3.     27 chronic conditions (Chronic Disease List (CDL) conditions).
The 271 diagnoses and 27 chronic conditions (Chronic Disease List (CDL) conditions) that qualify for Prescribed Minimum Benefit (PMB) cover are diagnosis-specific and include a range of ailments that are divided into 15 broad categories below. This information has been obtained directly from the Council for Medical Schemes (CMS) on www.medicalschemes.co.za. This list may change from time to time, please refer to the CMS website for a full list of the 271 diagnostic treatment pairs.
Please visit www.discovery.co.za under Medical Aid > Find important documents and certificates for more information on how we cover Prescribed Minimum Benefits (PMBs).",,,,
PRESCRIBED MINIMUM BENEFIT (PMB) CODE,PRESCRIBED MINIMUM BENEFIT (PMB) DESCRIPTION,TREATMENT,,
BRAIN AND NERVOUS SYSTEM,,,,
906A,"Acute generalised paralysis, including polio and Guillain-Barre",Medical management; ventilation and plasmapheresis,,
341A,"Basal ganglia, extra-pyramidal disorders; other dystonias not otherwise specified (NOS)",Initial diagnosis; initiation of medical management,,
950A,"Benign and malignant brain tumours, treatable",Medical and surgical management which includes radiation therapy and chemotherapy,,
49A,Compound/depressed fractures of skull,Craniotomy/craniectomy,,
213A,"Difficulty in breathing, eating, swallowing, bowel, or bladder control due to non-progressive neurological (including spinal) condition or injury",Medical and surgical management; ventilation,,
83A,Encephalocele; congenital hydrocephalus,Shunt; surgery,,
902A,"Epilepsy (status epilepticus, initial diagnosis, candidate for neurosurgery)",Medical management; ventilation; neurosurgery,,
211A,Intraspinal and Intracranial abscess,Medical and surgical management,,
905A,Meningitis – acute and subacute,Medical and surgical management,,
513A,Myasthenia gravis; muscular dystrophy; neuro- myopathies not otherwise specified (NOS),Initial diagnosis; initiation of medical management; therapy for acute complications and exacerbations,,
510A,Peripheral nerve injury with open wound,Neuroplasty,,
940A,Reversible CNS abnormalities due to other systemic disease,Medical and surgical management,,
PRESCRIBED MINIMUM BENEFIT (PMB) CODE,PRESCRIBED MINIMUM BENEFIT (PMB) DESCRIPTION,TREATMENT,,
1A,Severe/moderate head injury: haematoma/oedema with loss of consciousness,Medical and surgical management; ventilation,,
84A,Spina Bifida,Surgical management,,
941A,"Spinal cord compression, ischaemia or degenerative disease not otherwise specified (NOS)",Medical and surgical management,,
